0.225,-0.293,-0.102,-0.160,0.085,0.146,0.010,-0.050,-0.081,-0.121
-0.293,0.760,-0.030,0.300,-0.026,-0.111,0.208,0.082,0.253,0.225
-0.102,-0.030,0.229,0.052,-0.092,-0.184,-0.110,0.030,-0.110,0.106
-0.160,0.300,0.052,0.288,-0.127,-0.086,0.156,-0.001,0.044,0.128
0.085,-0.026,-0.092,-0.127,0.242,0.154,0.023,0.013,0.058,-0.044
0.146,-0.111,-0.184,-0.086,0.154,0.543,0.094,-0.094,0.073,-0.141
0.010,0.208,-0.110,0.156,0.023,0.094,0.417,-0.022,0.104,0.015
-0.050,0.082,0.030,-0.001,0.013,-0.094,-0.022,0.096,0.001,0.026
-0.081,0.253,-0.110,0.044,0.058,0.073,0.104,0.001,0.266,0.009
-0.121,0.225,0.106,0.128,-0.044,-0.141,0.015,0.026,0.009,0.228
