0.245,-0.243,-0.110,-0.124,0.081,0.092,0.049,-0.051,-0.067,-0.098
-0.243,0.696,-0.048,0.235,-0.011,-0.087,0.165,0.073,0.205,0.197
-0.110,-0.048,0.288,0.047,-0.071,-0.171,-0.134,0.035,-0.122,0.112
-0.124,0.235,0.047,0.309,-0.101,-0.077,0.156,-0.012,0.027,0.101
0.081,-0.011,-0.071,-0.101,0.250,0.132,0.010,0.019,0.053,-0.022
0.092,-0.087,-0.171,-0.077,0.132,0.538,0.070,-0.061,0.077,-0.150
0.049,0.165,-0.134,0.156,0.010,0.070,0.430,-0.034,0.088,0.001
-0.051,0.073,0.035,-0.012,0.019,-0.061,-0.034,0.112,-0.005,0.027
-0.067,0.205,-0.122,0.027,0.053,0.077,0.088,-0.005,0.259,-0.007
-0.098,0.197,0.112,0.101,-0.022,-0.150,0.001,0.027,-0.007,0.233
