1.211,0.074,0.029,-0.481,-0.443,0.220,-0.066,0.230,0.009,0.132
0.074,0.522,0.069,-0.264,-0.115,0.081,-0.026,0.002,-0.066,0.091
0.029,0.069,0.854,0.097,-0.196,0.385,-0.045,0.151,-0.052,-0.143
-0.481,-0.264,0.097,0.895,0.464,-0.067,-0.214,0.030,-0.092,-0.165
-0.443,-0.115,-0.196,0.464,0.979,-0.394,-0.118,-0.029,-0.003,-0.186
0.220,0.081,0.385,-0.067,-0.394,0.805,-0.028,-0.026,0.057,0.200
-0.066,-0.026,-0.045,-0.214,-0.118,-0.028,0.438,-0.042,-0.013,-0.030
0.230,0.002,0.151,0.030,-0.029,-0.026,-0.042,0.385,-0.080,-0.032
0.009,-0.066,-0.052,-0.092,-0.003,0.057,-0.013,-0.080,0.384,0.052
0.132,0.091,-0.143,-0.165,-0.186,0.200,-0.030,-0.032,0.052,0.297
